original_text_en,translated_text_es
"But in other cases (e.g., a vehicle door)","[2]​ La puerta puede moverse de varias maneras (en ángulos alejándose de la puerta/portal, deslizándose en un plano paralelo al marco, plegándose en ángulos en un plano paralelo o girando a lo largo de un eje en el centro del marco) para permitir o impedir la entrada o salida"
Many doors incorporate locking mechanisms to ensure that only some people can open them (such as with a key).,"Pero en otros casos (por ejemplo, una puerta de vehículo) los dos lados son radicalmente diferentes"
Doors may have devices such as knockers or doorbells by which people outside announce their presence.,Muchas puertas incorporan mecanismos de bloqueo o cerradura para garantizar que solo algunas personas puedan abrirlas (como con una llave)
"Apart from providing access into and out of a space, doors may have the secondary functions of ensuring privacy by preventing unwanted attention from outsiders, of separating areas with different functions, of allowing light to pass into and out of a space, of controlling ventilation or air drafts so that interiors may be more effectively heated or cooled, of dampening noise, and of blocking the spread of fire..",Las puertas pueden tener dispositivos como aldabas o timbres mediante los cuales las personas que están afuera anuncian su presencia
History.,"de separar áreas con diferentes funciones, de permitir que la luz entre y salga de un espacio, de controlar la ventilación o corriente de aire para que los interiores puedan ser más efectivos calentarse o enfriarse, amortiguar el ruido y bloquear la propagación del fuego"
"The earliest recorded doors appear in the paintings of Egyptian tombs, which show them as single or double doors, each of a single piece of wood.","Las puertas pueden tener propósitos de estética, simbólicos o rituales"
"Ancient doors were hung by pintles at the top and bottom of the hanging stile, which worked in sockets in the lintel and sill, the latter in some hard stone such as basalt or granite.","Las primeras puertas de las que se tiene constancia aparecen en las pinturas de las tumbas del Egipcio, que las muestran como puertas sencillas o dobles, cada una de una sola pieza de madera"
The tenons of the gates at Balawat were sheathed with bronze (now in the British Museum).,"En Egipto, donde el clima es intensamente seco, las puertas no estaban enmarcadas contra la deformación, pero en otros países se requerían puertas enmarcadas, lo que, según Vitruvio (iv"
Other sheathings of various sizes in bronze show this was a universal method adopted to protect the wood pivots.,"Los montantes eran los tablones verticales, uno de los cuales, espigado o bisagra, se conoce como montante colgante, el otro como montante medio o de encuentro"
"In the Hauran in Syria, where timber is scarce, the doors were made of stone, and one measuring 1.63 by 0.79 m (64 by 31 in) is in the British Museum; the band on the meeting stile shows that it was one of the leaves of a double door.","Los travesaños horizontales son la barra superior, la inferior y la intermedia"
"At Kuffeir, near Bostra in Syria, Burckhardt found stone doors, 2.74 to 3.048 m (8.99 to 10.00 ft) high, being the entrance doors of the town.","Las puertas más antiguas eran de madera, como las que se mencionan en la representación bíblica del Templo del rey Salomón de madera de olivo (I Reyes vi"
"Roman folding doors at Pompeii, from the first century AD, similar with Neoclassical doors from the 19th century.",Las puertas que menciona Homero parecen haber estado revestidas de plata o latón
"Ancient Greek and Roman doors were either single doors, double doors, triple doors, sliding doors, or folding doors.","Además de madera de olivo, se utilizaba elmo, cedro, roble y ciprés"
"Among existing examples, the bronze doors in the church of SS.","Las puertas antiguas se colgaban con pernos en la parte superior e inferior del montante colgante, que funcionaban en encajes en el dintel y la solera, esta última en alguna piedra dura como el basalto o el granito"
Gates powered by water featured in illustrations of the automatons of the Arab inventor Al-Jazari.[5][6].,"Estas puertas o portones se colgaban en dos hojas, cada una de unos 2,54 m (100 plg) de ancho y 8,2 m (26,9 pies) de alto; estaban revestidas con bandas o tiras de bronce, de 25,4 cm (10,0 plg) de alto, cubiertas con decoración repoussé de figuras"
